Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,Wraps Regular,,1.99,Fixed,,1,,,857545012049,,,,,
,Strawberry Wrap,,2.00,Fixed,,1,,,857545012070,,,,,
,Ogk,,1.99,Fixed,,1,,,857545012056,,,,,
,Pineapple,,1.99,Fixed,,1,,,857545012063,,,,,
,62%,,7.00,Fixed,,1,,,850661003182,,,,,
,58%,,7.00,Fixed,,1,,,852715006347,,,,,
,62% Size 4,,2.99,Fixed,,1,,,852715006453,,,,,
,Regular Brass 5Pk,,0.99,Fixed,,1,,,,,,,,
,Regular Bmt,,,VARIABLE,,1,,,,,,,,
,Faro Concrete Pipe,,39.99,Fixed,,1,,,628250732191,,,,,
,Rolling Papers,,6.50,Fixed,,1,,,027200104888,,,,,
,.65 Oz Tobacco,,7.99,Fixed,,1,,,761073425908,,,,,
,Red Borneo,,35.99,Fixed,,1,,,015568020742,,,,,
,Maeng Da Powder,,35.99,Fixed,,1,,,015568020759,,,,,
,Hello Vietnam 40caps,,14.99,Fixed,,1,,,015568020605,,,,,
,Red Borneo 40caps,,14.99,Fixed,,1,,,015568027154,,,,,
,Maeng Da 40 Caps,,14.99,Fixed,,1,,,015568027123,,,,,
,Bali Gold 40caps,,14.99,Fixed,,1,,,015568027130,,,,,
,Kalamantan Sapphire 40 Caps,,14.99,Fixed,,1,,,015568024610,,,,,
,Green Borneo 90caps,,35.99,Fixed,,1,,,015568027093,,,,,
,Maeng Da 90caps,,35.99,Fixed,,1,,,015568027079,,,,,
,Green Vein Indo 40cap,,14.99,Fixed,,1,,,015568021077,,,,,
,Green Boreno Kratom 40cap,,14.99,Fixed,,1,,,015568027147,,,,,
,Hello Vietnam,,35.99,Fixed,,1,,,015568020582,,,,,
,Malaysian Red Vein,,14.99,Fixed,,1,,,015568021060,,,,,
,Bubble Gum,,13.99,Fixed,,1,,,755379132202,,,,,
,Cool Mint,,13.99,Fixed,,1,,,755379132134,,,,,
,Special Blue Premium 90ml,,1.99,Fixed,,1,,,811490903876,,,,,
,Whip-it Premium 420ml,,11.99,Fixed,,1,,,065626864504,,,,,
,Special Blue Ultra Pure 5X,,3.99,Fixed,,1,,,811490901100,,,,,
,Special Blue Ultra Pure 9X,,4.99,Fixed,,1,,,811490903104,,,,,
,Neon Premium 7X,,3.99,Fixed,,1,,,855553008160,,,,,
,Neon Premium 11X,,4.99,Fixed,,1,,,855553008139,,,,,
,Neon Premium 5X,,2.99,Fixed,,1,,,855553008153,,,,,
,Zippo Lighter Fuel,,7.99,Fixed,,1,,,041689301224,,,,,
,Zippo Butane Fuel,,4.99,Fixed,,1,,,041689140076,,,,,
,Ronsonol Fuel 5oz,,4.99,Fixed,,1,,,037900990612,,,,,
,Vector Butane,,9.99,Fixed,,1,,,743809500226,,,,,
,Regular Butt Bucket Ashtray,,10.00,Fixed,,1,,,163054300479,,,,,
,Bbq Flavored Grill A Corn,,7.00,Fixed,,1,,,4892294101121,,,,,
,Hot And Spicy Grill A Corn,,6.99,Fixed,,1,,,4892294101428,,,,,
,0.8ohm UN2 Meshed-H G Pod,,15.00,Fixed,,1,,,6941736500027,,,,,
,02 Empty Cartridge 2ml,,15.00,Fixed,,1,,,06JI1FLQ26611313,,,,,
,Ak2 Pod System,,37.00,Fixed,,1,,,6941736502366,,,,,
,G2 B,,64.99,Fixed,,1,,,6941736504025,,,,,
